"","electricity","postal_code","water_use","property_type","squarefootage","property_name","year_built","fuel_oil","natural_gas","greenhouse_emissions"
"39",10992860.1,"19103",18515,"Hotel",256265,"Westin Philadelphia Hotel",1990,NA,1287400,1801.3
"40",27420128.6,"19107",9011,"Hospital (General Medical & Surgical)",235648,"JHN Building",1980,NA,2667.6,5395
"41",24421779,"19122",14214.3,"Residence Hall/Dormitory",679622,"Morgan Hall",2000,NA,419172.3,5419.6
"42",25373655.3,"19106",6520,"Office",415479,"100 Independence- DOW Building",1965,NA,8905372.4,3479.6
"43",2583815.5,"19107",2886.7,"Residence Hall/Dormitory",81525,"Martin Building",1959,NA,NA,821
"44",2941802.5,"19107",507.9,"Office",85000,"901 Walnut Street Building",2010,NA,NA,975.6
"45",3393801.8,"19103",2066.7,"Office",122000,"1420-22 Chestnut Street",1948,NA,NA,552
"46",4417707.5,"19107",1762.9,"Office",125000,"Young Smyth Field Condominium Association",1902,NA,NA,631
"47",3999979.7,"19102",1270.5,"Medical Office",106218,"centralized comprehensive human services",1896,NA,NA,635.2
"48",4145146.7,"19103",1596.8,"Office",120943,"Jewish Federation",1913,NA,NA,630.9
"49",4148463.1,"19107",935.2,"Office",100572,"1211 Chestnut",1919,NA,NA,608.3
"50",5010013.6,"19107",1500.6,"Office",135825,"Nevil Building",1906,NA,NA,751.6
"51",54884715.5,"19102",34535,"Office",684827,"The Bellevue",1904,NA,54942997.6,9006.7
"52",3867727.2,"19104",3175.4,"Residence Hall/Dormitory",80202,"17-Van Rensselaer",1931,NA,NA,695.4
"53",3439899.9,"19107",681.7,"Office",84000,"Balch Building",1975,NA,NA,381.7
"54",8103363.5,"19103",7049.2,"Hotel",255000,"Club Quarters Hotel",1927,NA,NA,1023.6
"55",8910581.3,"19103",8990.1,"Multifamily Housing",269842,"The Lofts @ 1835 Arch",2001,NA,NA,1389.9
"56",5056253,"19103",4675.4,"Multifamily Housing",125994,"The Republic",1929,NA,NA,761.3
"57",3167474.6,"19106",2155.2,"Multifamily Housing",91900,"The Broderick",1920,NA,NA,426.4
"58",5637719.3,"19107",4377.5,"Office",135000,"1015 Chestnut Street",1940,NA,NA,939.4
"59",5792088.4,"19102",5001.7,"Office",108000,"1420 Walnut",1927,NA,NA,730.8
"60",1939322.1,"19107",1301,"Medical Office",43739,"301 Duncan",1959,NA,NA,608.6
"61",29834766.8,"19107",8382.7,"Office",616379,"801 Market Street",1909,NA,NA,4587
"62",30334693.1,"19102",9196.9,"Office",564078,"1515 Market Street",1958,NA,NA,4077.3
"63",30417932.2,"19103",8623.7,"Office",663328,"Arch 1650 Partners LP",1974,NA,NA,4516.2
"64",9596287.5,"19107",3503.1,"Office",404950,"PA0143ZZ-RN NIX FED BLDG & USPO",1973,NA,NA,1417.5
"65",32600438.5,"19106",11645.6,"Medical Office",229920,"Walnut Towers",1987,NA,NA,3928.2
"66",36608030.4,"19103",8027.8,"Office",721408,"12589 Ten Penn Center",1981,NA,NA,4689.9
"67",19776248.8,"19104",13999.3,"Hotel",259330,"Sansom Common",1997,NA,NA,5219.7
"68",25320697.7,"19103",4871.3,"Office",543134,"Four Penn Center",1964,NA,NA,6970.1
"69",10607628.2,"19144",5645.3,"Senior Care Community",182687,"GT Penn & LTSR",1980,NA,NA,2119.6
"70",15558170.7,"19102",19394.7,"Multifamily Housing",677140,"1500 Locust",1974,NA,NA,2327
"71",42253866.8,"19103",3480,"Office",160661,"CO/GLC 11310/1631 ARCH ST/PHILADELPHIA/PA",1905,NA,NA,5057.4
"72",16892805.2,"19103",10242.8,"Multifamily Housing",598137,"Murano Condominium ASN",2008,NA,NA,3187
"73",48332993.1,"19103",9911.6,"Office",934085,"1700 Market Street",1968,NA,NA,6822.9
"74",49122734.6,"19103",19124.9,"Office",988092,"1818 Market St",1973,NA,NA,6866.8
"75",11225295.8,"19104",4512.2,"Residence Hall/Dormitory",186330,"Stiles Alumni Hall",1972,NA,NA,1483.4
"76",17300969.1,"19104",4037.9,"Medical Office",494608,"3535 Market",1973,NA,NA,2169.6
"77",17669731.2,"19106",5120.1,"Office",126000,"Police Administration Building",1956,NA,NA,2358.7
"78",37453865.2,"19103",10657.6,"Office",686503,"1835 Market Street",1986,NA,NA,4990.4
"79",40281628.4,"19103",10789.7,"Office",713271,"APF - 1601 Market Street",1969,NA,NA,5381.8
"80",40846519.2,"19103",9885,"Office",718162,"SPUS7 United Plaza, L.P.",1975,NA,NA,5219.7
"81",7179284.7,"19102",4260.9,"Multifamily Housing",140000,"The Avenir",1909,NA,NA,869.6
"82",17958369.4,"19103",16998.5,"Multifamily Housing",825000,"William Penn House",1965,NA,NA,2669.2
"83",63844149.8,"19107",14966.3,"Office",775493,"SEPTA Headquarters",1973,NA,NA,8016.5
"84",100854693.8,"19102",26205.4,"Office",2054435,"Centre Square - 1500 Market Street",1974,NA,NA,14205.2
"85",24487828.5,"19106",10725.9,"Office",535382,"Public Ledger",1927,NA,NA,3804
"86",24508617.8,"19102",7496.4,"Office",610065,"Three Parkway",1970,NA,NA,536400.1
"87",25094175,"19103",14011.4,"Office",500000,"2 Penn",1956,NA,NA,3217.4
"88",22244339.5,"19106",21544.5,"Multifamily Housing",415790,"The St. James",2003,NA,NA,2468.4
"89",11470724.3,"19103",8940.2,"Office",235000,"8 Penn",1981,NA,NA,1696.2
"90",18814719.9,"19107",7422.2,"Medical Office",262308,"925 Chestnut Street",1931,NA,NA,2867.7
"91",72481047.8,"19103",17413.5,"Office",1218580,"Three Logan Square",1990,NA,NA,9325.4
"92",73253354,"19107",9535,"Office",488657,"CO/GLC 16200/900 RACE ST/PHILADELPHIA/PA",1905,NA,NA,8486.8
"93",11292945.5,"19102",4319.1,"Office",206625,"1528 Walnut",1927,NA,NA,1469.9
"94",9096173.6,"19107",3747.7,"Office",145375,"Hamilton Building",2007,NA,NA,1415.4
"95",26564528.6,"19103",6160.4,"Office",305170,"1701 Market Street",1957,NA,NA,3191.6
"96",26711442.5,"19104",4545.5,"Office",598198,"Academic Properties",1956,NA,NA,3434.9
"97",27108398,"19104",4473.6,"Office",207000,"178-3020 MARKET",1959,NA,NA,3496.4
"98",27973572,"19107",5484.9,"Office",526472,"One South Broad",1932,NA,NA,3719
"99",23585160,"19103",12393.3,"Multifamily Housing",623183,"Kennedy House, Inc",1968,NA,NA,3115.7
"100",24415197.2,"19102",2.2,"Multifamily Housing",739800,"""(PA3537)",1977,NA,NA,3441.1
"101",637915.4,"19144",770.6,"K-12 School",38000,"Fitler",1899,3858479.9,43914.2,359.4
"102",3042159.3,"19124",1019.8,"K-12 School",65570,"Edmunds HR",1923,5482740.4,272388,758.8
"103",1090163.3,"19122",788.3,"K-12 School",99864,"Ferguson",1922,5750321.9,234107.6,560.1
"104",656539.1,"19124",501.6,"K-12 School",58450,"Marshall J",1909,2539337.9,79952.7,265.5
"105",904312.7,"19122",479.8,"K-12 School",53200,"Dunbar",1932,3445998.1,63252.8,359.4
"106",1210480,"19131",772.2,"K-12 School",139000,"Beeber",1933,7362886.4,416132.3,702.8
"107",999930.6,"19124",588.3,"K-12 School",65000,"Sullivan",1929,4307945.8,109520.2,436.4
"108",1240104,"19104",1697.1,"K-12 School",100000,"McMichael",1916,5449206.3,172656.7,551.1
"109",1302638.8,"19131",753.5,"K-12 School",56000,"Gompers",1949,3644855.8,143463.4,422.6
"110",2122484.4,"19131",1156.8,"K-12 School",323316,"Overbrook HS",1926,15421362.3,608323.8,1412.2
"111",2152690.2,"19154",212.1,"K-12 School",85550,"Fitzpatrick",1959,3602628.1,7178.1,506.5
"112",1709914.9,"19124",393.3,"K-12 School",129264,"Harding",1924,580014,6796752.1,593.7
"113",2341236.3,"19154",4137.8,"K-12 School",67938,"Shallcross",1929,436218,6235379.6,623.3
"114",2067820.1,"19144",4906.3,"K-12 School",135315,"Roosevelt MS",1924,5593140,411702.1,666.3
"115",1782305.3,"19104",1178.3,"K-12 School",77000,"Locke",1965,3463247.9,167854.9,463.6
"116",2877982.1,"19131",493,"K-12 School",99926,"Bluford",1909,3650958.6,168677.3,599.2
"117",2424313.3,"19154",1137.8,"K-12 School",89247,"Decatur",1965,2934707.7,234397.5,499.2
"118",4970086.4,"19154",2600.7,"K-12 School",283950,"Archbishop Ryan High School",1965,0,13405763.9,1263.4
"119",32178421.9,"19102",9711.7,"Office",502000,"One Parkway Building",1962,0,13884409.7,4307
"120",32536224.7,"19124",19080.8,"Hospital (General Medical & Surgical)",399596,"Temple Episcopal Hospital",1928,75076.4,59374448.2,6768.5
"121",25636549.9,"19102",4109.7,"Office",659185,"City Hall",1900,0,33953484.9,4647.3
"122",43570400.6,"19144",9108.5,"Office",449021,"PA0000AT - WISSAHICKON FED BLDG",1998,3631608.1,3628002.4,5153.7
"123",65080825.8,"19106",12867.4,"Mixed Use Property",1705898,"PA0000BG-BYRNE GREEN COMPLEX",1985,70380,58358671.9,10290.8
"124",117806124,"19104",58537,"Hospital (General Medical & Surgical)",1311710,"Philadelphia",1966,0,161646046,21654.1
"125",18867322.8,"19106",3250.7,"Office",565392,"PA0144ZZ-PHILADELPHIA CUSTOMHOUSE",1973,0,10163408.1,2632.8
"126",2577629.5,"19124",197.7,"K-12 School",74000,"Lankenau",1971,635075.9,NA,333.1
"127",7037594.6,"19106",9308,"Hotel",112380,"omni hotel",1989,NA,821207.6,824.3
"128",11533740.6,"19107",697.7,"Office",196188,"801 Arch Street",1975,NA,35819.7,1281.4
"129",5245670.2,"19104",238.6,"K-12 School",67200,"Miller",1967,NA,2753511,728.2
"130",3062.4,"19154",1216,"Distribution Center",98721,"Arbill Industries, Inc.",1968,NA,26101271.8,1386.7
"131",128247.2,"19154",325.2,"Office",66000,"2825-2845 Southampton Rd",1984,NA,96242.1,19.3
"132",14756.9,"19124",16264.1,"Multifamily Housing",268565,"CMH Development LP",1938,NA,20422270.8,1086.4
"133",25539.7,"19154",971.2,"Non-Refrigerated Warehouse",268000,"Origlio Property Holding",2001,NA,3447869.5,186
"134",505790.8,"19154",478.5,"Office",58372,"2800 Black Lake Place",1988,NA,1761782.3,149.7
"135",511995.5,"19154",32.1,"Distribution Center",56947,"Main Warehouse",1985,NA,1077525,114
"136",525807.3,"19122",424.9,"Multifamily Housing",118946,"Sewing Factory",1931,NA,13645.8,59.1
"137",531051.9,"19103",1720.1,"Multifamily Housing",50000,"Coronado Condominiums",1910,NA,1212621.9,123.3
"138",387947.8,"19144",799.5,"Multifamily Housing",65000,"Fairfax Apartments",1912,NA,2331995.4,166.9
"139",155812.4,"19104",4979.8,"Multifamily Housing",67473,"Center Post Apartments",1940,NA,4502703.6,256.4
"140",192759.5,"19154",257.7,"Office",10764,"ST. ANSELM ANNEX",1970,NA,743654.1,60.9
"141",193240.3,"19154",13,"Office",51024,"DRUMMOND ROAD",1963,NA,705302.2,58.9
"142",225468.5,"19131",5703.6,"Multifamily Housing",109750,"Wynnefield Terrace Associates LP",1955,NA,6093850.2,348.7
"143",295941.3,"19131",7.5,"Non-Refrigerated Warehouse",56976,"Warehouse",1950,NA,442657.9,56.3
"144",332117.3,"19144",3262.7,"Multifamily Housing",65340,"Birchwood Hill Apts",1966,NA,4893196.2,296.7
"145",82610.1,"19122",1334.5,"Multifamily Housing",16800,"VILLAS DE HACE",1992,NA,1302712.2,78.4
"146",95656.3,"19124",2367,"Multifamily Housing",56280,"Foulkrod Apartment Associates, LP",1996,NA,407527.2,32.3
"147",116519.8,"19144",3683.4,"Multifamily Housing",56184,"Penn Lee Apartments",1941,NA,2361852,138.4
"148",630380.6,"19122",61.9,"Non-Refrigerated Warehouse",87500,"1801 N American",1986,NA,892866.4,117.4
"149",3085147.1,"19107",5102.3,"Multifamily Housing",48000,"Saint George Senior Housing Corp",1973,NA,3476346.8,526.9
"150",835271.2,"19154",0,"Non-Refrigerated Warehouse",108232,"1198-Philadelphia - Roosevelt BL",2009,NA,1066200.1,149.3
"151",843259.4,"19122",296.5,"K-12 School",74557,"Elverson Military",1930,NA,4095838.9,311.1
"152",1944832.5,"19107",2795.5,"Multifamily Housing",62925,"John C. Anderson Apartments",2013,NA,333483.1,233.5
"153",1976916.6,"19106",5806.8,"Multifamily Housing",81616,"National at Old City Condominiums",2006,NA,1204461.1,283.3
"154",1056410.1,"19124",833.2,"Non-Refrigerated Warehouse",71509,"4309 G Street",1950,NA,0,117.2
"155",1069958.8,"19107",1923,"Multifamily Housing",60640,"Arch Street Exchange Condominium",1912,NA,1083978.9,176.3
"156",986419.1,"19122",4429.9,"Multifamily Housing",120000,"444 Lofts",2007,NA,3105708,274.4
"157",2038281,"19102",812.4,"Multifamily Housing",95000,"The Lanesborough",1931,NA,1717934.5,317.4
"158",882991.5,"19144",6790.8,"Multifamily Housing",59500,"5001-23 Erringer Pl",1937,NA,3756391.3,297.5
"159",932212,"19144",1369.1,"K-12 School",64963,"Lingelbach",1956,NA,2758168.3,249.9
"160",710838.3,"19131",594.8,"K-12 School",64000,"Blankenburg",1925,NA,5014619.8,345.2
"161",715214.6,"19122",1458.6,"K-12 School",70230,"Ludlow",1927,NA,4604134.8,323.9
"162",781983,"19154",114.7,"Distribution Center",70000,"Advanced Sports",1965,NA,1510517.6,167
"163",1038105.8,"19124",1852.5,"K-12 School",70000,"Lea",1914,NA,4395805,348.6
"164",1179528.4,"19131",2295.1,"Multifamily Housing",59540,"Metropolitan Wynnefield",1953,NA,4292117.1,358.8
"165",1218294.5,"19144",3596.8,"Multifamily Housing",73605,"Manor Associates",1930,NA,5465101.9,425.4
"166",1572416.8,"19144",1566.4,"Multifamily Housing",67900,"Maple Village",2002,NA,1403978.4,249
"167",1601043.1,"19104",704.5,"K-12 School",87000,"Belmont",1927,NA,3814849.5,380.2
"168",1368808.8,"19106",982.9,"K-12 School",68076,"McCall",1909,NA,7556545.1,553.2
"169",1388547.5,"19144",4139.7,"Multifamily Housing",71432,"6200 Wayne",1926,NA,7926875.9,575.1
"170",1406458.8,"19103",1833,"Multifamily Housing",78750,"The Townhouse",1933,NA,4780264.8,409.9
"171",1521671.8,"19103",1466,"K-12 School",101640,"Hallahan High School",1911,NA,5580202.2,465.2
"172",1522485.6,"19154",841.9,"Refrigerated Warehouse",50847,"Holts Cigar Company",1970,NA,348904.5,187.4
"173",1729884,"19131",436.1,"Multifamily Housing",80000,"4401 Conshohocken",1931,NA,9256366.7,683.5
"174",1265102.7,"19131",912.2,"Multifamily Housing",50439,"Inglis Gardens at Belmont II",2016,NA,529399.3,168.5
"175",1313974.8,"19122",607.8,"Office",110000,"Crane Arts LLC",1905,NA,1032554.3,165.5
"176",1327476.1,"19144",22,"Non-Refrigerated Warehouse",108210,"0542-Philadelphia - Wayne Ave.",2009,NA,155700,155.5
"177",1305150.1,"19144",5909.4,"Multifamily Housing",85000,"Marchwood Realty Co LP",1929,NA,4543688.4,386.1
"178",1308511.9,"19104",2857.5,"K-12 School",71300,"Washington Martha",1930,NA,5106347.9,416.4
"179",1124905.7,"19154",281.3,"Non-Refrigerated Warehouse",75000,"Onyx Glentov",1990,NA,2466139.8,255.8
"180",1802065.9,"19104",1263.2,"Hotel",65186,"11018 - Philadelphia Ronald McDonald House",1885,NA,1776683.2,294.3
"181",1807509,"19144",1487,"Multifamily Housing",57209,"NewCourtland Apartments at Cliveden, L.P.",2009,NA,1044698.5,256
"182",1865821.5,"19144",2360.9,"Multifamily Housing",62040,"Church Lane Apartments",1963,NA,529210.8,235.1
"183",1867359.6,"19154",780.4,"Office",118036,"Decatur Rd",1995,NA,1432150,283.2
"184",2113171,"19106",1648,"Multifamily Housing",66000,"(PA2407) - Old City 108 Condominiums",2004,NA,624205.2,267.6
"185",2149845.6,"19154",605,"Distribution Center",159200,"Almo Corporation",2001,NA,2910002.7,393
"186",2214278.5,"19122",3520.2,"Multifamily Housing",90000,"Olde Kensington, LP",1986,NA,1374960.7,318.7
"187",2538528,"19154",279.2,"K-12 School",44500,"LaBrum",1974,NA,83760.3,286.1
"188",2547599.5,"19107",2075.3,"Multifamily Housing",63838,"Old Shoe Factory Condo Association",1925,NA,2358363.6,407.9
"189",2616305.6,"19107",2188.5,"Residence Hall/Dormitory",60000,"Connelly House",2010,NA,1551763.7,82.4
"190",2669997.1,"19107",2466.8,"Multifamily Housing",111402,"L A 1300 Chestnut Associates",1914,NA,348942.6,314.7
"191",2695972,"19104",8467.1,"Multifamily Housing",144000,"Fairfax Apartments",1928,NA,1196062.9,362.6
"192",2708314.2,"19107",6235.4,"Multifamily Housing",128337,"Chancellor Apartments",1920,NA,8049987.2,728
"193",2559977.9,"19154",267.3,"Non-Refrigerated Warehouse",62000,"Elliott-Lewis Corporate HQ",2000,NA,2000380.4,390.2
"194",2582420,"19122",693.1,"K-12 School",74314,"McKinley",1970,NA,1021416.8,340.7
"195",2593611.3,"19107",3179.2,"Multifamily Housing",55620,"(PA2492) - Bentwood Condos",1916,NA,1832108.4,385
"196",2614917.9,"19144",2837.2,"K-12 School",101976,"Kelly John",1970,NA,3635307.2,483.2
"197",1678431,"19107",2978,"Multifamily Housing",79733,"Strickland Condos",1815,NA,3678312.7,381.6
"198",1688257.6,"19106",2433.4,"Multifamily Housing",58000,"Old City Presbyterian Apartments",1970,NA,2531441.6,321.7
"199",1702861,"19124",926.5,"K-12 School",76150,"Stearne",1966,NA,2396999.3,316.2
"200",2373466.7,"19103",2501.5,"Multifamily Housing",61520,"Roosevelt",1915,NA,2203792,380.3
"201",2057446.2,"19104",1729462.5,"Multifamily Housing",56784,"Ralston Mercy Douglass",2000,NA,739042.5,267.5
"202",1746446.9,"19154",31.9,"Distribution Center",185000,"United Refrigeration Inc. Warehouse 90",1959,NA,776850.2,235
"203",1879602.6,"19104",1322.6,"Multifamily Housing",60557,"Mantua Presbyterian Apartments",2008,NA,1657698.3,296.6
"204",1893987.9,"19102",674.2,"K-12 School",77500,"Roman Catholic High School",1890,NA,2866772.1,362.4
"205",1894649.8,"19106",963.2,"Multifamily Housing",56928,"Boekel",1952,NA,582774.6,241.1
"206",1916055.7,"19131",6002.3,"Multifamily Housing",111000,"Bryn Mawr Suites",1955,NA,8738421.3,676.7
"207",1917573.3,"19107",2933.8,"Multifamily Housing",79923,"Lenox Condominiums",1920,NA,6085648.7,536
"208",2863253.2,"19124",705.4,"K-12 School",78150,"First Philadelphia Charter School",2002,NA,2381345.9,444.1
"209",2866080,"19144",2301.8,"K-12 School",83271,"Pennsylvania School for the Deaf",1984,NA,5011066.6,584.1
"210",2871167.6,"19124",5918.6,"Multifamily Housing",82600,"Avondale Apartments",1960,NA,2055488.4,427.7
"211",2871298.7,"19104",1109.7,"Office",52306,"St. Leonard's Court",1985,NA,423184,341
"212",6000974.4,"19131",14253.2,"Multifamily Housing",216723,"Kearsley",1995,NA,9419976.2,1166
"213",6030696.4,"19103",2572.5,"Office",95000,"Medical Tower Building",1930,NA,812311.4,712.1
"214",6416392.2,"19103",1929.1,"Office",138128,"1760 Market",1980,NA,1327398.3,782.3
"215",6451529,"19107",9850,"Hotel",159885,"097-Hampton Inn - Philadelphia",2001,NA,3944300,925.2
"216",3423942,"19106",4373.3,"Hotel",87000,"Holiday Inn Express Penns Landing",1986,NA,2746019.5,525.7
"217",6082231.2,"19103",7711.7,"Multifamily Housing",240000,"River's Edge Condos",1982,NA,1878811.4,774.5
"218",6147458.4,"19131",7482.2,"Multifamily Housing",133536,"Overmont Corp",1972,NA,2790739,771
"219",6276336.5,"19103",13746.2,"Multifamily Housing",212742,"John Fox Towers",1966,NA,10093279.3,1232.3
"220",6373332.8,"19107",17112.5,"Multifamily Housing",242157,"(PA2345) - Arts Condominium",1922,NA,14874435.2,1497.1
"221",3265007.6,"19131",1988.2,"Multifamily Housing",173160,"Park Tower: Park Tower",1981,NA,5900974.6,675.6
"222",2413999.6,"19131",960.7,"K-12 School",81640,"Heston",1971,NA,3377334.4,447.2
"223",2453569.2,"19106",1499.1,"Multifamily Housing",103000,"York Square Condominium Association",2005,NA,1010610,325.9
"224",2457884.4,"19102",2188,"Office",50000,"1520 Locust street",1940,NA,669660.3,308.2
"225",2486213.2,"19154",1403.9,"Office",83000,"Steamfitter Union 420",2000,NA,3610026.1,467.5
"226",2495530,"19122",35.2,"Office",56779,"900 W Jefferson Street",1962,NA,119787.5,283.2
"227",3154713.4,"19107",4603.9,"Multifamily Housing",98254,"Washington Square West",1982,NA,1472525.3,428.2
"228",5012589.7,"19131",4023.6,"Office",127785,"List Associates",1956,NA,2052665.2,665.1
"229",2733012,"19103",5157.8,"Multifamily Housing",67493,"(PA2450) - Belgravia",1903,NA,615762.2,335.9
"230",2784015.9,"19131",5001.2,"Multifamily Housing",119000,"the metropolitan bala",1965,NA,5228013.5,586.5
"231",2788559.4,"19131",3788.1,"Multifamily Housing",102000,"Salvation Army - Ivy House",1999,NA,2997735.3,468.6
"232",2789896.9,"19102",250,"Office",56714,"1435 Walnut (Drexel Building)",1908,NA,533269.6,337.8
"233",3507215.3,"19107",7331.9,"Residence Hall/Dormitory",79233,"Juniper Residence Hall",1923,NA,2147318.3,503.1
"234",3579092.5,"19103",2536.7,"Multifamily Housing",92109,"AQ Rittenhouse",2015,NA,1067287.7,453.7
"235",3614669.4,"19103",3477,"Residence Hall/Dormitory",60000,"Kate's Place",1900,NA,6378631.6,739.8
"236",4307486.2,"19104",608.5,"Office",67084,"3930 Chestnut St.",1966,NA,4852548.2,735.6
"237",4421081.9,"19106",1310.7,"Office",88700,"120 N. 20th Street",1981,NA,622921.9,523.5
"238",3977535.6,"19154",436.9,"Distribution Center",229755,"Westinghouse Lighting",1988,NA,4705979.7,691.2
"239",4010894.7,"19103",6597,"Multifamily Housing",115719,"Riverside Presby Tower",1981,NA,4508533.2,684.4
"240",4079185.9,"19144",5254.3,"Multifamily Housing",191391,"Four Freedoms House of Philadelphia",1967,NA,7346724.8,842.7
"241",4179126.8,"19106",1835.1,"Multifamily Housing",54124,"The Moravian at Independence",2004,NA,928285.1,512.9
"242",5137885.1,"19104",2996.7,"Residence Hall/Dormitory",93696,"21-Myers Hall",1977,NA,1098393.1,628.3
"243",4716397.4,"19144",1647.7,"Multifamily Housing",65000,"MW Manor Assoc, LP",1999,NA,2116237.4,635.6
"244",4804365.5,"19107",2769.7,"Multifamily Housing",86642,"1201 Chestnut (The Commonwealth)",1906,NA,949980.6,583.4
"245",4849489.2,"19107",2488.7,"Multifamily Housing",50000,"Francis House of Peace",2015,NA,1905447.1,639.2
"246",3667842,"19107",2907.8,"Multifamily Housing",106100,"1027 Arch Street Lofts in the Pitcairn Building",2001,NA,687263.9,443.4
"247",3689405.8,"19124",1079.2,"K-12 School",118000,"Community Academy of Philadelphia",1958,NA,1427777.9,485.1
"248",19282631.4,"19124",1826.1,"Office",225688,"3624 Market St",1975,NA,258908.9,2152.8
"249",4214168,"19124",18972.6,"K-12 School",102300,"Juniata Park",2007,NA,4860752.7,725.7
"250",4226877.7,"19131",14480.9,"Senior Care Community",275276,"Simpson House Inc.",1899,NA,20214080.2,1542.6
"251",4232077.6,"19124",1868.1,"K-12 School",313765,"Frankford HS",1916,NA,18749650.2,1465.4
"252",4497667.7,"19144",7933.1,"Senior Care Community",68690,"Maplewood Nursing & Rehabilitation",1975,NA,3913978.6,706.8
"253",4549820.1,"19104",15.8,"Medical Office",76038,"3550 Market",1989,NA,1453431.6,581.9
"254",4551212.2,"19104",1085,"Office",105169,"2.0 University Place",2013,NA,1874228,604.4
"255",4292367.7,"19103",2731.8,"Multifamily Housing",99722,"135 South 18th Street, Philadelphia",1912,NA,2576911.1,613
